name,city,statenam,state,censdist,year,sworn,civil,elecyear,governor,murder,rape,robbery,assault,burglary,larceny,auto,rincpc,econgrow,unemp,citypop,term2,term3,term4,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,termlim,jid,mayor,date_wa,date_my,web
albuquerque,1,nm,31,85,1989,760,389,1,0,41,178,1032,3445,9672,21670,2306,10.641929626464844,0.011617422103881836,0.06607997417449951,384801,0,0,1,0.07865464687347412,0.07624000310897827,0.06928998231887817,0.07031887769699097,0.07959949970245361,0.09346801042556763,2.9499988555908203,12.009994506835938,916.93505859375,209.6773681640625,1.239999771118164,1,78,1,Oct-89,.,0
albuquerque,1,nm,31,85,1990,793,390,0,1,34,222,1030,3835,9497,22130,1973,10.88629150390625,0.02270197868347168,0.06274998188018799,384736,0,0,1,0.07877111434936523,0.07649093866348267,0.06819921731948853,0.067577362060546875,0.07711279392242432,0.09286701679229736,3,12.099998474121094,943.38134765625,231.82861328125,1.3069992065429688,1,78,0,Nov-93,.,0
albuquerque,1,nm,31,NA,1991,803,372,0,0,51,261,1307,3972,10348,22024,2470,NA,NA,0.06899994611740112,393148,0,0,1,0.07888472080230713,0.07673555612564087,0.06713593006134033,0.06490486860275269,0.07468873262405396,0.09228116273880005,3.049999237060547,12.189994812011719,973.431640625,270.8486328125,NA,1,78,0,Nov-93,.,0
albuquerque,1,nm,31,NA,1992,787,304,0,0,42,294,1460,4372,8705,20236,2905,NA,NA,0.0679999589920044,401529,0,0,1,0.07899540662765503,0.07697403430938721,0.06609904766082764,0.062298864126205444,0.07232487201690674,0.0917099118232727,3.0999984741210938,12.279998779296875,1003.4814453125,309.86865234375,NA,1,78,0,Oct-93,.,0
,1,,NA,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,1,Oct-93,.,0
,1,,NA,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Nov-97,.,0
,1,,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Nov-97,.,0
,1,,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Oct-97,.,0
,1,,NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,1,Oct-97,.,1
,1,,NA,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Nov-01,.,0
,1,,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,Nov-01,.,0
,2,,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,Jan-62,.,0
,2,,NA,NA,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1,Jan-66,.,0
,2,,NA,NA,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,Jan-66,.,0
,2,,NA,NA,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,Jan-66,.,0
,2,,NA,NA,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,Jan-66,.,0
,2,,NA,NA,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1,Jan-69,.,0
,2,,NA,NA,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,Jan-69,.,0
,2,,NA,NA,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,Jan-69,.,0
,2,,NA,NA,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,Dec-69,.,0
atlanta,2,,10,58,1969,906,149,1,0,NA,NA,NA,NA,NA,NA,NA,8.5776519775390625,0.041388511657714844,0.028999999165534973,NA,0,0,1,0.09583067893981934,0.10549122095108032,0.10489803552627563,0.09031641483306885,0.0886337161064148,0.081379234790802,NA,NA,NA,NA,NA,1,41,1,Dec-73,.,0
atlanta,2,ga,10,58,1970,950,159,0,1,242,202,2126,1304,11529,19965,4724,8.703605651855469,0.014577150344848633,0.04077997803688049,495000,0,0,1,0.09313696622848511,0.1025625467300415,0.10268038511276245,0.0903092622756958,0.08913105726242065,0.08324003219604492,51.5,21.29998779296875,585.05126953125,141.7525634765625,0.3880000114440918,1,41,0,Jan-74,.,0
atlanta,2,ga,10,58,1971,1166,171,0,0,230,268,2207,1935,13726,18301,4034,8.94073486328125,0.026880741119384766,0.03880998492240906,480333.25,0,0,1,0.09058362245559692,0.09978652000427246,0.10057830810546875,0.0903024673461914,0.08960247039794922,0.08500385284423828,53.009979248046875,21.360000610351562,604.93798828125,180.246826171875,0.4049999713897705,1,41,0,Jan-74,.,0
atlanta,2,ga,10,58,1972,1243,222,0,0,255,256,3074,2143,14676,17805,4150,9.5837249755859375,0.06944847106933594,0.04051998257637024,497600,0,0,1,0.08815991878509521,0.09715151786804199,0.09858304262161255,0.09029603004455566,0.09004998207092285,0.086678147315979,54.519989013671875,21.419998168945312,614.83251953125,203.3492431640625,0.4179999828338623,1,41,0,Jan-74,.,0
atlanta,2,ga,10,58,1973,1458,199,1,0,263,468,4140,2650,15901,16739,4897,10.042793273925781,0.04678821563720703,0.03951999545097351,499000,0,0,1,0.0858563780784607,0.09464704990386963,0.09668654203414917,0.0902898907661438,0.09047526121139526,0.08826941251754761,56.029998779296875,21.479995727539062,599.09912109375,234.2342529296875,0.4439997673034668,1,41,1,Oct-77,.,0
atlanta,2,ga,10,58,1974,1586,308,0,1,248,440,4357,3369,16802,19320,4114,9.809326171875,-0.023520946502685547,0.05452999472618103,490767,0,0,1,0.08366411924362183,0.09226363897323608,0.09488177299499512,0.09028404951095581,0.09088003635406494,0.08978378772735596,57.53997802734375,21.539993286132812,590.263671875,180.52734375,0.492999792098999,1,41,0,Oct-77,.,0
atlanta,2,ga,10,58,1975,1415,453,0,0,185,443,3887,3518,14501,22612,3738,9.531593322753906,-0.02872180938720703,0.0858999490737915,490584,0,0,1,0.08157539367675781,0.0899927020072937,0.0931621789932251,0.09027844667434692,0.09126567840576172,0.09122669696807861,59.04998779296875,21.599990844726562,617.10009765625,189.591064453125,0.5379996299743652,0,41,0,Jan-78,.,0
atlanta,2,ga,10,58,1976,1251,335,0,0,154,477,3380,3518,12455,26075,3448,9.93145751953125,0.04109477996826172,0.08113998174667358,457300,0,0,1,0.07958292961120605,0.08782649040222168,0.09152185916900635,0.09027314186096191,0.09163355827331543,0.09260308742523193,60.55999755859375,21.659988403320312,623.9013671875,173.9893798828125,0.5689997673034668,0,41,0,Jan-78,.,0
atlanta,2,ga,10,58,1977,1225,328,1,0,138,510,3354,3593,12295,22549,3158,10.153465270996094,0.022107839584350586,0.06905996799468994,440300,0,0,1,0.07768028974533081,0.08575791120529175,0.08995550870895386,0.090268075466156,0.09198486804962158,0.09391742944717407,62.069976806640625,21.719985961914062,608.91064453125,168.3167724609375,0.6059999465942383,0,41,1,Dec-81,.,0
atlanta,2,ga,10,58,1978,1118,261,0,1,144,592,4119,3990,15185,25874,3966,10.573616027832031,0.04054713249206543,0.05666998028755188,456000,0,0,1,0.07586151361465454,0.08378052711486816,0.08845818042755127,0.0902632474899292,0.09232062101364136,0.09517383575439453,63.579986572265625,21.779998779296875,595.091796875,171.779052734375,0.6519999504089355,0,41,0,Dec-81,.,0
atlanta,2,ga,10,58,1979,1116,331,0,0,231,656,5189,4639,16111,27424,4474,10.482093811035156,-0.008693695068359375,0.05091997981071472,423103,0,0,1,0.07412117719650269,0.08188843727111816,0.0870254635810852,0.09025859832763672,0.09264194965362549,0.09637606143951416,65.0899658203125,21.839996337890625,640.49560546875,163.9117431640625,0.7259998321533203,1,41,0,Nov-80,.,0
atlanta,2,ga,10,58,1980,1223,337,0,0,201,671,4733,5470,16812,27502,4005,10.131065368652344,-0.03406167030334473,0.0639999508857727,422474,0,0,1,0.07245433330535889,0.08007621765136719,0.08565318584442139,0.09025418758392334,0.0929497480392456,0.09752750396728516,66.5999755859375,21.899993896484375,577.669921875,156.5533447265625,0.8239998817443848,1,41,0,Nov-81,.,0
atlanta,2,ga,10,58,1981,1294,352,1,0,182,644,4507,5246,17458,28966,3566,10.23577880859375,0.010283231735229492,0.0639999508857727,435626,0,0,1,0.07329684495925903,0.07910782098770142,0.08335244655609131,0.0878063440322876,0.09130150079727173,0.09801721572875977,66.64996337890625,22.04998779296875,584.158203125,180.41796875,0.9089999198913574,1,41,1,Nov-81,.,0
atlanta,2,ga,10,58,1982,1340,283,0,1,152,613,3999,5722,15134,27818,3526,10.220985412597656,-0.0014464855194091797,0.07817000150680542,441103,0,0,1,0.07408791780471802,0.07819861173629761,0.08119213581085205,0.08550792932510376,0.08975386619567871,0.09847700595855713,66.699951171875,22.199996948242188,566.97021484375,170.2376708984375,0.9649996757507324,1,41,0,Nov-85,.,0
atlanta,2,ga,10,58,1983,1315,288,0,0,141,619,3552,5014,12501,23566,3020,10.711982727050781,0.046919822692871094,0.07491999864578247,448635,0,0,1,0.07483220100402832,0.07734322547912598,0.07915985584259033,0.08334565162658691,0.08829790353775024,0.09890961647033691,66.75,22.349990844726562,581.64990234375,179.0634765625,0.995999813079834,0,41,0,Nov-85,.,0
atlanta,2,ga,10,58,1984,1276,287,0,0,135,632,4029,5729,10813,24110,3184,11.344528198242188,0.057372331619262695,0.06024998426437378,442951,0,0,1,0.07553356885910034,0.07653707265853882,0.07724446058273315,0.08130782842636108,0.08692574501037598,0.09931725263595581,66.79998779296875,22.5,589.0048828125,170.5924072265625,1.0389995574951172,0,41,0,Nov-85,.,0
atlanta,2,ga,10,58,1985,1278,289,1,0,145,683,4792,5990,12192,29372,4331,11.724906921386719,0.032979726791381836,0.06541997194290161,436214,0,0,1,0.07619577646255493,0.07577604055404663,0.07543623447418213,0.07938390970230103,0.08563029766082764,0.09970211982727051,66.8499755859375,22.649993896484375,631.708984375,160.6488037109375,1.0759992599487305,0,41,1,Nov-85,.,0
atlanta,2,ga,10,58,1986,1326,305,0,1,186,681,5428,6867,13454,30380,6072,12.318946838378906,0.0494234561920166,0.05924999713897705,445617,0,0,1,0.07682192325592041,0.07505637407302856,0.0737263560295105,0.07756471633911133,0.08440536260604858,0.10006606578826904,66.89996337890625,22.79998779296875,695.14697265625,174.646484375,1.0959997177124023,0,41,0,Oct-89,.,0
atlanta,2,ga,10,58,1987,1346,304,0,0,207,636,5100,6950,14927,31559,7512,12.594367980957031,0.022110939025878906,0.054749995470047,429953,0,0,1,0.07741492986679077,0.07437479496002197,0.07210701704025269,0.07584184408187866,0.08324527740478516,0.10041075944900513,66.949951171875,22.949996948242188,738.65625,184.1693115234375,1.1359996795654297,1,41,0,Oct-89,.,0
atlanta,2,ga,10,58,1988,1395,309,0,0,217,721,5972,9001,15556,37306,9314,12.911239624023438,0.024848461151123047,0.057999998331069946,444995,0,0,1,0.07797729969024658,0.07372844219207764,0.07057130336761475,0.07420790195465088,0.082145094871521,0.10073763132095337,67,23.099990844726562,770.23193359375,220.8282470703125,1.182999610900879,1,41,0,Oct-89,.,0
atlanta,2,ga,10,58,1989,1518,331,1,0,246,691,6796,9119,17202,42660,11527,12.949188232421875,0.002935171127319336,0.055329978466033936,426482,0,0,1,0.07851141691207886,0.07311457395553589,0.06911277770996094,0.07265615463256836,0.0811002254486084,0.1010480523109436,67.04998779296875,23.25,784.67724609375,236.290283203125,1.239999771118164,1,41,1,Oct-89,.,0
atlanta,2,ga,10,58,1990,1569,364,0,1,231,695,6109,9062,15519,33020,11157,12.964248657226562,0.0011620521545410156,0.05449998378753662,394017,0,0,1,0.07901930809020996,0.07253086566925049,0.06772583723068237,0.07118052244186401,0.08010661602020264,0.10134327411651611,67.0999755859375,23.399993896484375,826.3193359375,254.7818603515625,1.3069992065429688,1,41,0,Oct-93,.,0
atlanta,2,ga,10,NA,1991,1533,568,0,0,205,638,6479,8967,13861,35237,11011,NA,NA,0.04999998211860657,403085,0,0,1,0.07950294017791748,0.07197505235671997,0.06640535593032837,0.06977558135986328,0.07916057109832764,0.10162431001663208,67.14996337890625,23.54998779296875,801.4755859375,301.844970703125,NA,0,41,0,Oct-93,.,0
atlanta,2,ga,10,NA,1992,1524,472,0,0,198,627,5824,9207,13065,33903,8451,NA,NA,0.06899994611740112,410876,0,0,1,0.07996386289596558,0.0714452862739563,0.0651465654373169,0.06843632459640503,0.07825881242752075,0.10189223289489746,67.199951171875,23.699996948242188,776.6318359375,348.907958984375,NA,0,41,0,Oct-93,.,0
,2,,NA,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1,Nov-93,.,0
,2,,NA,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,Dec-97,.,0
,2,,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,Dec-97,.,0
