date,timing,fg,qe
2011-05-05,-6.324877733389171,-6.2658682593874255,
2011-06-09,0.9060697894037224,-5.522618841058956,
2011-07-07,0.48438691099816783,2.3954281509904405,
2011-08-04,-12.069249185682324,-5.468700569948952,
2011-09-08,1.4920114722283817,-4.3405636721078595,
2011-10-06,1.4961298061948272,6.739450783198826,
2011-11-03,0.46092837145537396,3.9798546257782648,
2011-12-08,-3.0232778827322764,2.132784301838405,
2012-01-12,-0.41694945948855316,0.5829306010247011,
2012-02-09,0.13687594465880976,0.08013390024393749,
2012-03-08,-0.11516950894088972,0.4087212964269023,
2012-04-04,0.09619893391853016,-0.123038568866431,
2012-05-03,1.1279594308910712,1.0304304093277548,
2012-06-06,0.8625355095152799,1.5995023610068455,
2012-07-05,0.5145698104419277,-2.0643319315521547,
