date,target
2016-10-20,-0.32717454783418115
2016-12-08,0.10949227918931205
2017-01-19,-0.44377474572573633
2017-03-09,-0.4734453491107098
2017-04-27,-0.23658073980105446
2017-06-08,-0.30549459065307344
2017-07-20,-0.7035359665579117
2017-09-07,-0.7054266315598794
2017-10-26,-0.4899854724501221
2017-12-14,0.4840698516797348
2018-01-25,-0.43205828319860656
2018-03-08,-0.11871451918592392
2018-04-26,-0.3987420291528763
2018-06-14,-1.3944552313654246
2018-07-26,-0.27410022148258734
2018-09-13,-0.19754377573061088
2018-10-25,0.25257103882026716
2018-12-13,-0.9283419055908746
2019-01-24,-0.4701071480451076
2019-03-07,-0.3753205179396041
2019-04-10,0.13097597461323518
2019-06-06,0.18117289090229158
2019-07-25,2.7821554383137217
2019-09-12,2.3076608350991688
